english,arabic,notes
Auction,مزاد,الشاشة الأساسية
Bid,مزايدة,فعل اللاعب
Bidder,مزايد,
Seller,البائع,اللاعب اللي بيعرض العنصر
Buyer,المشتري,
Buyer's Market,سوق المشترين,
Starting Price,السعر الابتدائي,
Current Bid,أعلى مزايدة,
Winning Bid,المزايدة الفائزة,
Outbid,مزايدة أعلى,"رسالة ""تمت مزايدتك"" أو فعل"
Highest Bidder,أعلى مزايد,
Timer,الوقت المتبقي,مؤقت المزاد
Sold!,اتباع!,لحظة انتهاء المزاد
Unsold,لم يُبَع,
Item,عنصر,
Rare Item,عنصر نادر,
Common Item,عنصر عادي,
Cursed Item,عنصر ملعون,
Market Value,القيمة السوقية,
Value,القيمة,
Profit,ربح,
Loss,خسارة,
Deal,صفقة,
Risky Trade,صفقة خطِرة,
Bargain,صفقة رابحة,
Scam,خِدعة,
Bluff,بلوف,خداع نفسي بالكلام
Bluffing,بيبلوف,أثناء المزاد
Negotiate,تفاوض,
Offer,عرض,
Counter Offer,عرض مضاد,
Clause,بند,المصطلح الأهم في اللعبة
Hidden Clause,بند سرّي,
Secret Clause,بند مخفي,
Beneficial Clause,بند مفيد,
Harmful Clause,بند ضار,
Clause Revealed,البند اتكشف,
Curse,لعنة,
Bonus,مكافأة,
Penalty,عقوبة,
Market Phase,مرحلة السوق,
Round,جولة,
Turn,دور,
Next Phase,المرحلة الجاية,
Card,كارت,
Invest,استثمار,
Investment,استثمار,
Player,لاعب,
Opponent,خصم,
Table,الطاولة,
Lobby,غرفة الانتظار,
Host,المستضيف,
Ready,جاهز,
Start Game,ابدأ اللعبة,
Invite,دعوة,
Join,انضمام,
Leave,خروج,
Chat,الشات,
Voice Chat,الشات الصوتي,
Bankrupt,مفلس,
Balance,الرصيد,
Coins,عملات,
Score,النقاط,
Scoreboard,لوحة النتائج,
Winner,الفائز,
Game Over,انتهت اللعبة,
Rematch,مباراة تانية,
Settings,الإعدادات,
Language,اللغة,
Sound,الصوت,
Continue,متابعة,
Back,رجوع,
Exit,خروج,
Confirm,تأكيد,
Cancel,إلغاء,
Waiting for players,في انتظار اللاعبين,
You are the Seller,انت البائع,مهم في نصوص اللعب
You are the Buyer,انت المشتري,
Trust no one,متثقش في حد,نص تسويقي
